CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/367.py
MEM 48.101562 1745294946.4487
MEM 48.257812 1745294946.4499
MEM 48.257812 1745294946.4511
MEM 48.257812 1745294946.4523
MEM 48.257812 1745294946.4535
MEM 48.257812 1745294946.4546
MEM 48.414062 1745294946.4558
MEM 48.570312 1745294946.4570
MEM 48.726562 1745294946.4582
MEM 48.726562 1745294946.4594
MEM 48.726562 1745294946.4605
MEM 48.726562 1745294946.4617
MEM 48.726562 1745294946.4629
MEM 48.726562 1745294946.4641
MEM 48.726562 1745294946.4652
MEM 48.726562 1745294946.4664
MEM 48.882812 1745294946.4676
MEM 48.882812 1745294946.4687
MEM 48.882812 1745294946.4699
MEM 49.039062 1745294946.4755
MEM 49.039062 1745294946.4767
MEM 49.039062 1745294946.4779
MEM 49.195312 1745294946.4791
MEM 49.195312 1745294946.4803
MEM 49.195312 1745294946.4815
MEM 49.820312 1745294946.4827
MEM 50.132812 1745294946.4839
MEM 50.132812 1745294946.4851
MEM 50.132812 1745294946.4863
MEM 50.132812 1745294946.4895
MEM 50.132812 1745294946.4907
MEM 50.132812 1745294946.4919
MEM 50.132812 1745294946.4931
MEM 50.132812 1745294946.4943
MEM 50.132812 1745294946.4955
MEM 50.132812 1745294946.4966
MEM 50.132812 1745294946.4978
MEM 50.132812 1745294946.5035
MEM 50.132812 1745294946.5047
MEM 50.132812 1745294946.5059
MEM 50.132812 1745294946.5071
MEM 50.132812 1745294946.5083
MEM 50.132812 1745294946.5095
MEM 50.132812 1745294946.5107
MEM 50.132812 1745294946.5119
MEM 50.132812 1745294946.5131
MEM 50.132812 1745294946.5143
MEM 50.132812 1745294946.5155
MEM 50.132812 1745294946.5166
MEM 50.132812 1745294946.5178
MEM 50.132812 1745294946.5190
MEM 50.132812 1745294946.5202
MEM 50.132812 1745294946.5213
MEM 50.132812 1745294946.5225
MEM 50.132812 1745294946.5236
MEM 50.132812 1745294946.5248
MEM 50.132812 1745294946.5260
MEM 50.132812 1745294946.5271
MEM 50.132812 1745294946.5283
MEM 50.132812 1745294946.5315
MEM 50.132812 1745294946.5327
MEM 50.132812 1745294946.5340
MEM 50.132812 1745294946.5375
MEM 50.132812 1745294946.5388
MEM 50.132812 1745294946.5399
MEM 50.132812 1745294946.5411
MEM 50.132812 1745294946.5423
MEM 50.132812 1745294946.5435
MEM 50.132812 1745294946.5447
MEM 50.132812 1745294946.5459
MEM 50.132812 1745294946.5471
MEM 50.132812 1745294946.5491
MEM 50.132812 1745294946.5503
MEM 50.132812 1745294946.5515
MEM 50.132812 1745294946.5527
MEM 50.132812 1745294946.5539
MEM 50.132812 1745294946.5551
MEM 50.132812 1745294946.5570
MEM 50.132812 1745294946.5582
MEM 50.132812 1745294946.5594
MEM 50.132812 1745294946.5605
MEM 50.132812 1745294946.5617
MEM 50.132812 1745294946.5640
MEM 50.132812 1745294946.5652
MEM 50.132812 1745294946.5664
MEM 50.132812 1745294946.5685
MEM 50.132812 1745294946.5697
MEM 50.132812 1745294946.5708
MEM 50.132812 1745294946.5720
MEM 50.132812 1745294946.5732
MEM 50.132812 1745294946.5743
MEM 50.132812 1745294946.5754
MEM 50.132812 1745294946.5789
MEM 50.132812 1745294946.5801
MEM 50.132812 1745294946.5812
MEM 50.132812 1745294946.5824
MEM 50.132812 1745294946.5836
MEM 50.132812 1745294946.5848
MEM 50.132812 1745294946.5860
MEM 50.132812 1745294946.5872
MEM 50.132812 1745294946.5883
MEM 50.132812 1745294946.5895
MEM 50.132812 1745294946.5906
MEM 50.132812 1745294946.5918
MEM 50.132812 1745294946.5930
MEM 50.132812 1745294946.5949
MEM 50.132812 1745294946.5961
MEM 50.132812 1745294946.5973
MEM 50.132812 1745294946.5985
MEM 50.132812 1745294946.5999
MEM 50.132812 1745294946.6027
MEM 50.132812 1745294946.6045
MEM 50.132812 1745294946.6057
MEM 50.132812 1745294946.6090
MEM 50.132812 1745294946.6106
MEM 50.132812 1745294946.6119
MEM 50.132812 1745294946.6167
MEM 50.132812 1745294946.6180
MEM 50.132812 1745294946.6192
MEM 50.132812 1745294946.6203
MEM 50.132812 1745294946.6215
MEM 50.132812 1745294946.6226
MEM 50.132812 1745294946.6238
MEM 50.132812 1745294946.6250
MEM 50.132812 1745294946.6262
MEM 50.132812 1745294946.6275
MEM 50.132812 1745294946.6286
MEM 50.132812 1745294946.6301
MEM 50.132812 1745294946.6321
MEM 50.132812 1745294946.6332
MEM 50.132812 1745294946.6344
MEM 50.132812 1745294946.6356
MEM 50.132812 1745294946.6367
MEM 50.132812 1745294946.6379
MEM 50.132812 1745294946.6390
MEM 50.132812 1745294946.6401
MEM 50.132812 1745294946.6413
MEM 50.132812 1745294946.6434
MEM 50.132812 1745294946.6446
MEM 50.132812 1745294946.6457
MEM 50.132812 1745294946.6468
MEM 50.132812 1745294946.6479
MEM 50.132812 1745294946.6490
MEM 50.132812 1745294946.6501
MEM 50.132812 1745294946.6513
MEM 50.132812 1745294946.6524
MEM 50.132812 1745294946.6535
MEM 50.132812 1745294946.6556
MEM 50.132812 1745294946.6568
MEM 50.132812 1745294946.6580
MEM 50.132812 1745294946.6591
MEM 50.132812 1745294946.6603
MEM 50.132812 1745294946.6614
MEM 50.132812 1745294946.6652
MEM 50.132812 1745294946.6664
MEM 50.132812 1745294946.6706
MEM 50.132812 1745294946.6717
MEM 50.132812 1745294946.6729
MEM 50.132812 1745294946.6740
MEM 50.132812 1745294946.6752
MEM 50.132812 1745294946.6765
MEM 50.132812 1745294946.6777
MEM 50.132812 1745294946.6788
MEM 50.132812 1745294946.6800
MEM 50.132812 1745294946.6811
MEM 50.132812 1745294946.6823
MEM 50.132812 1745294946.6835
MEM 50.132812 1745294946.6847
MEM 50.132812 1745294946.6859
MEM 50.132812 1745294946.6870
MEM 50.132812 1745294946.6882
MEM 50.132812 1745294946.6893
MEM 50.132812 1745294946.6905
MEM 50.132812 1745294946.6916
MEM 50.132812 1745294946.6928
MEM 50.132812 1745294946.6940
MEM 50.132812 1745294946.6951
MEM 50.132812 1745294946.6962
MEM 50.132812 1745294946.6974
MEM 50.132812 1745294946.6985
MEM 50.132812 1745294946.7026
MEM 50.132812 1745294946.7039
MEM 50.132812 1745294946.7050
MEM 50.132812 1745294946.7063
MEM 50.132812 1745294946.7075
MEM 50.132812 1745294946.7086
MEM 50.132812 1745294946.7098
MEM 50.132812 1745294946.7109
MEM 50.132812 1745294946.7121
MEM 50.132812 1745294946.7132
MEM 50.132812 1745294946.7144
MEM 50.132812 1745294946.7155
MEM 50.132812 1745294946.7167
MEM 50.132812 1745294946.7178
MEM 50.132812 1745294946.7189
MEM 50.132812 1745294946.7200
MEM 50.132812 1745294946.7211
MEM 50.132812 1745294946.7223
MEM 50.132812 1745294946.7234
MEM 50.132812 1745294946.7245
MEM 50.132812 1745294946.7257
MEM 50.132812 1745294946.7268
MEM 50.132812 1745294946.7279
MEM 50.132812 1745294946.7291
MEM 50.132812 1745294946.7302
MEM 50.132812 1745294946.7313
MEM 50.132812 1745294946.7325
MEM 50.132812 1745294946.7375
MEM 50.132812 1745294946.7387
MEM 50.132812 1745294946.7399
MEM 50.132812 1745294946.7411
MEM 50.132812 1745294946.7423
MEM 50.132812 1745294946.7435
MEM 50.132812 1745294946.7446
MEM 50.132812 1745294946.7458
MEM 50.132812 1745294946.7469
MEM 50.132812 1745294946.7481
MEM 50.132812 1745294946.7493
MEM 50.132812 1745294946.7504
MEM 50.132812 1745294946.7516
MEM 50.132812 1745294946.7527
MEM 50.132812 1745294946.7539
MEM 50.132812 1745294946.7551
MEM 0.000000 1745294946.7562
MEM 0.000000 1745294946.7574
MEM 0.000000 1745294946.7585
MEM 0.000000 1745294946.7597
MEM 0.000000 1745294946.7609
MEM 0.000000 1745294946.7620
MEM 0.000000 1745294946.7632
