CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Gemini-2Flash/744.py
MEM 50.597656 1745294911.9855
MEM 50.597656 1745294911.9866
MEM 50.597656 1745294911.9878
MEM 50.597656 1745294911.9889
MEM 50.597656 1745294911.9901
MEM 50.597656 1745294911.9912
MEM 50.597656 1745294911.9924
MEM 50.597656 1745294911.9935
MEM 50.597656 1745294911.9947
MEM 50.597656 1745294911.9959
MEM 50.597656 1745294911.9970
MEM 50.597656 1745294911.9982
MEM 50.597656 1745294911.9993
MEM 50.597656 1745294912.0005
MEM 50.597656 1745294912.0016
MEM 50.597656 1745294912.0028
MEM 50.597656 1745294912.0039
MEM 50.597656 1745294912.0051
MEM 50.597656 1745294912.0062
MEM 50.597656 1745294912.0074
MEM 50.597656 1745294912.0086
MEM 50.597656 1745294912.0097
MEM 50.597656 1745294912.0109
MEM 50.597656 1745294912.0121
MEM 50.597656 1745294912.0132
MEM 50.597656 1745294912.0144
MEM 50.597656 1745294912.0175
MEM 50.597656 1745294912.0187
MEM 50.597656 1745294912.0199
MEM 50.597656 1745294912.0211
MEM 50.597656 1745294912.0223
MEM 50.597656 1745294912.0234
MEM 50.597656 1745294912.0246
MEM 50.597656 1745294912.0258
MEM 50.597656 1745294912.0269
MEM 50.597656 1745294912.0281
MEM 50.597656 1745294912.0293
MEM 50.597656 1745294912.0305
MEM 50.597656 1745294912.0316
MEM 50.597656 1745294912.0328
MEM 50.597656 1745294912.0340
MEM 0.000000 1745294912.0385
MEM 0.000000 1745294912.0397
MEM 0.000000 1745294912.0409
